feedback_id,customer_name,feedback,date,product
55,Divya,Delivery was too late,2025-07-01,E-commerce
56,Sneha,Customer support did not respond,2025-06-29,Smart Watch
57,Sneha,Very bad experience and disappointed,2025-09-10,Laptop
58,Arun,Worst product ever,2025-08-01,Mobile
59,Arun,Excellent quality and very satisfied,2025-12-22,Banking App
60,Anitha,Acceptable performance,2025-11-30,Mobile
61,Manoj,Delivery was too late,2025-01-06,Banking App
62,Arun,Customer support did not respond,2025-03-27,E-commerce
63,Priya,Delivery was too late,2025-01-25,Headphones
64,Sneha,Acceptable performance,2025-02-14,Mobile
65,Suresh,"Amazing experience, highly recommend",2025-07-22,Laptop
66,Pooja,Customer support did not respond,2025-07-19,Mobile App
67,Sneha,Poor quality and waste of money,2025-06-30,Mobile App
68,Divya,Great service and fast delivery,2025-02-12,Mobile App
69,Manoj,Very bad experience and disappointed,2025-11-13,Laptop
70,Priya,Delivery was too late,2025-03-18,Smart Watch
71,Manoj,Nothing special,2025-10-18,Banking App
72,Anitha,Very happy with the product,2025-07-07,Laptop
73,Sneha,Average experience,2025-04-08,Laptop
74,Priya,"Amazing experience, highly recommend",2025-10-14,E-commerce
75,Priya,"Amazing experience, highly recommend",2026-01-01,Banking App
76,Arun,Acceptable performance,2025-08-12,Smart Watch
77,Rahul,Average experience,2025-12-30,Internet Service
78,Arun,Great service and fast delivery,2025-01-07,Laptop
79,Manoj,Worst product ever,2025-10-26,Mobile
80,Karthik,Great service and fast delivery,2025-04-23,Headphones
81,Anitha,Worst product ever,2025-01-02,E-commerce
82,Divya,"Amazing experience, highly recommend",2025-07-10,Headphones
83,Priya,Okay for the price,2025-03-03,Banking App
84,Suresh,Very happy with the product,2025-08-28,Headphones
85,Karthik,Very happy with the product,2025-06-20,Mobile App
86,Rahul,Poor quality and waste of money,2025-11-23,Internet Service
87,Sneha,Nothing special,2025-02-02,Mobile
88,Sneha,Worst product ever,2025-06-10,Laptop
89,Anitha,Nothing special,2025-05-03,Smart Watch
90,Manoj,Average experience,2025-06-10,Banking App
91,Rahul,Average experience,2025-04-13,Headphones
92,Suresh,Poor quality and waste of money,2025-08-30,Mobile App
93,Anitha,Worst product ever,2025-09-30,Banking App
94,Manoj,Delivery was too late,2025-08-07,Headphones
95,Arun,Worst product ever,2025-08-01,E-commerce
96,Arun,Okay for the price,2025-01-19,Internet Service
97,Anitha,Excellent quality and very satisfied,2025-03-11,Laptop
98,Manoj,"Amazing experience, highly recommend",2025-01-16,E-commerce
99,Priya,Great service and fast delivery,2025-01-31,Banking App
100,Pooja,Very bad experience and disappointed,2025-01-31,Smart Watch
101,Priya,Support team was very helpful,2025-06-18,Mobile
102,Rahul,Poor quality and waste of money,2025-02-07,Banking App
103,Pooja,Very bad experience and disappointed,2025-12-19,Mobile
104,Pooja,Customer support did not respond,2025-11-30,Mobile
105,Karthik,Nothing special,2025-11-12,Laptop
106,Anitha,Average experience,2025-11-01,Smart Watch
107,Priya,Poor quality and waste of money,2025-08-13,E-commerce
108,Divya,Acceptable performance,2025-12-28,Headphones
109,Manoj,Support team was very helpful,2025-04-09,Mobile App
110,Rahul,Decent product,2025-12-31,Banking App
111,Manoj,Acceptable performance,2025-10-25,Mobile App
112,Pooja,"Amazing experience, highly recommend",2025-05-15,Headphones
113,Arun,Average experience,2025-01-07,Laptop
114,Divya,"Amazing experience, highly recommend",2025-07-27,Internet Service
115,Karthik,Very bad experience and disappointed,2025-03-21,Mobile
116,Sneha,"Amazing experience, highly recommend",2025-04-14,E-commerce
117,Karthik,Worst product ever,2025-06-11,Mobile App
118,Rahul,"Amazing experience, highly recommend",2025-07-04,Mobile
119,Divya,Support team was very helpful,2025-05-20,E-commerce
120,Rahul,"Amazing experience, highly recommend",2025-12-22,Mobile
121,Karthik,Customer support did not respond,2025-08-21,Internet Service
122,Sneha,"Amazing experience, highly recommend",2025-04-14,Mobile App
123,Pooja,"Amazing experience, highly recommend",2025-01-26,E-commerce
124,Arun,Okay for the price,2025-08-23,Laptop
125,Divya,Support team was very helpful,2025-05-09,Smart Watch
126,Rahul,Poor quality and waste of money,2025-09-02,E-commerce
127,Suresh,Nothing special,2025-11-24,Banking App
128,Anitha,Customer support did not respond,2025-01-19,Smart Watch
129,Sneha,Very bad experience and disappointed,2025-04-19,Mobile App
130,Pooja,Customer support did not respond,2025-03-11,Internet Service
131,Karthik,Worst product ever,2025-03-16,E-commerce
132,Anitha,Nothing special,2025-12-06,Headphones
133,Karthik,Excellent quality and very satisfied,2025-01-29,Headphones
134,Divya,Nothing special,2025-01-31,Headphones
135,Suresh,Great service and fast delivery,2025-08-30,Mobile App
136,Suresh,Average experience,2025-05-06,Headphones
137,Karthik,Delivery was too late,2025-06-14,E-commerce
138,Anitha,"Amazing experience, highly recommend",2025-07-15,Banking App
139,Arun,Okay for the price,2025-05-10,Mobile App
140,Sneha,Great service and fast delivery,2025-02-27,E-commerce
141,Suresh,Okay for the price,2025-03-28,Mobile App
142,Divya,Delivery was too late,2025-09-15,Laptop
143,Priya,Nothing special,2025-11-22,Smart Watch
144,Pooja,Acceptable performance,2025-07-19,Mobile
145,Arun,"Amazing experience, highly recommend",2025-05-05,Mobile
146,Rahul,Very bad experience and disappointed,2025-08-24,Headphones
147,Rahul,Poor quality and waste of money,2025-12-21,Mobile App
148,Pooja,Average experience,2025-06-23,Laptop
149,Rahul,Average experience,2025-05-01,Mobile
150,Anitha,Delivery was too late,2025-07-27,E-commerce
151,Priya,Okay for the price,2025-11-18,Internet Service
152,Pooja,Average experience,2025-11-14,Smart Watch
153,Priya,Average experience,2025-04-04,Laptop
154,Karthik,Very happy with the product,2025-03-17,Banking App
155,Suresh,Acceptable performance,2025-06-30,Laptop
156,Divya,Poor quality and waste of money,2025-10-13,Banking App
157,Suresh,Great service and fast delivery,2025-02-23,Mobile App
158,Priya,Acceptable performance,2025-03-27,Mobile
159,Manoj,Support team was very helpful,2025-05-07,E-commerce
160,Manoj,Great service and fast delivery,2025-08-10,Headphones
161,Suresh,Nothing special,2025-01-06,E-commerce
162,Manoj,Delivery was too late,2025-02-19,Mobile
163,Pooja,Decent product,2025-11-12,Smart Watch
164,Sneha,Support team was very helpful,2025-10-27,Smart Watch
165,Karthik,Customer support did not respond,2025-02-23,Internet Service
166,Karthik,Support team was very helpful,2025-09-17,Smart Watch
167,Rahul,"Amazing experience, highly recommend",2025-03-14,Mobile App
168,Arun,Worst product ever,2025-07-30,E-commerce
169,Anitha,Decent product,2025-08-20,Internet Service
170,Pooja,"Amazing experience, highly recommend",2025-02-01,E-commerce
171,Pooja,Delivery was too late,2025-12-11,Headphones
172,Sneha,Nothing special,2025-10-22,Headphones
173,Karthik,Very bad experience and disappointed,2025-03-10,E-commerce
174,Divya,Acceptable performance,2025-12-10,Smart Watch
175,Manoj,Excellent quality and very satisfied,2025-06-30,Headphones
176,Divya,Support team was very helpful,2025-01-11,Laptop
177,Manoj,Support team was very helpful,2025-05-18,Mobile
178,Arun,Customer support did not respond,2025-08-10,Smart Watch
179,Anitha,Support team was very helpful,2025-02-15,Mobile App
180,Sneha,Average experience,2025-08-18,Mobile App
181,Priya,Average experience,2025-05-06,Headphones
182,Anitha,Support team was very helpful,2025-03-07,Laptop
183,Divya,Acceptable performance,2025-09-09,E-commerce
184,Suresh,Poor quality and waste of money,2025-11-11,Mobile App
185,Anitha,Decent product,2025-11-13,Laptop
186,Divya,Average experience,2025-03-03,Laptop
187,Arun,Nothing special,2025-04-22,Headphones
188,Pooja,Average experience,2025-05-19,Smart Watch
189,Manoj,Very bad experience and disappointed,2025-10-17,Mobile
190,Sneha,Very happy with the product,2025-01-05,Internet Service
191,Rahul,Acceptable performance,2025-03-01,Mobile App
192,Priya,"Amazing experience, highly recommend",2025-10-26,Internet Service
193,Divya,Very bad experience and disappointed,2025-07-07,E-commerce
194,Divya,Decent product,2025-08-24,Laptop
195,Rahul,Great service and fast delivery,2025-01-09,Banking App
196,Sneha,Delivery was too late,2025-09-26,Mobile
197,Anitha,Worst product ever,2025-03-28,Mobile
198,Pooja,Very bad experience and disappointed,2025-04-03,E-commerce
199,Suresh,Very bad experience and disappointed,2025-05-16,Headphones
200,Divya,Decent product,2025-04-05,Smart Watch
201,Arun,Great service and fast delivery,2025-11-11,Mobile App
202,Suresh,Decent product,2025-02-21,E-commerce
203,Anitha,Acceptable performance,2025-07-11,Smart Watch
204,Divya,"Amazing experience, highly recommend",2025-05-31,Laptop
205,Anitha,Very happy with the product,2025-07-27,Mobile
206,Sneha,Delivery was too late,2025-04-16,Mobile
207,Manoj,Very happy with the product,2025-12-15,Internet Service
208,Suresh,Acceptable performance,2025-11-30,Headphones
209,Pooja,Acceptable performance,2025-08-07,Banking App
210,Divya,Acceptable performance,2025-05-04,Mobile App
211,Pooja,Nothing special,2025-01-19,Smart Watch
212,Priya,"Amazing experience, highly recommend",2025-03-27,Banking App
213,Pooja,Acceptable performance,2025-10-20,Mobile App
214,Divya,Great service and fast delivery,2025-09-30,Headphones
215,Karthik,Excellent quality and very satisfied,2025-06-21,Smart Watch
216,Karthik,Nothing special,2025-07-06,Mobile App
217,Divya,Excellent quality and very satisfied,2025-07-10,Laptop
218,Sneha,Okay for the price,2025-02-03,Laptop
219,Priya,Very bad experience and disappointed,2025-06-14,Internet Service
220,Arun,Excellent quality and very satisfied,2025-08-22,Headphones
221,Rahul,Acceptable performance,2025-09-22,Internet Service
222,Anitha,Support team was very helpful,2025-12-07,Smart Watch
223,Karthik,Very happy with the product,2025-08-12,Laptop
224,Pooja,"Amazing experience, highly recommend",2025-02-03,Headphones
225,Sneha,Decent product,2026-01-01,Laptop
226,Manoj,Decent product,2025-02-04,Mobile
227,Rahul,Okay for the price,2025-11-30,Mobile App
228,Arun,Decent product,2025-02-04,Headphones
229,Divya,Okay for the price,2025-09-30,Headphones
230,Arun,Okay for the price,2025-07-07,Mobile App
231,Pooja,Excellent quality and very satisfied,2025-11-14,Headphones
232,Sneha,Poor quality and waste of money,2025-01-06,Laptop
233,Sneha,Great service and fast delivery,2025-03-07,Mobile
234,Divya,Decent product,2025-11-01,E-commerce
235,Pooja,Worst product ever,2025-08-16,Mobile App
236,Divya,Support team was very helpful,2025-07-20,Headphones
237,Pooja,"Amazing experience, highly recommend",2025-06-24,Headphones
238,Divya,Delivery was too late,2025-05-26,Internet Service
239,Suresh,Worst product ever,2025-07-31,Headphones
240,Divya,Decent product,2025-12-06,Smart Watch
241,Rahul,Delivery was too late,2025-01-15,E-commerce
242,Divya,Nothing special,2025-01-11,Mobile App
243,Karthik,Customer support did not respond,2025-08-01,Banking App
244,Priya,"Amazing experience, highly recommend",2025-11-07,E-commerce
245,Sneha,Customer support did not respond,2025-06-01,Mobile
246,Manoj,Delivery was too late,2025-04-04,E-commerce
247,Suresh,Nothing special,2025-01-12,Banking App
248,Sneha,Okay for the price,2025-11-08,E-commerce
249,Arun,Very bad experience and disappointed,2025-12-10,Internet Service
250,Suresh,Excellent quality and very satisfied,2025-08-13,Laptop
251,Pooja,"Amazing experience, highly recommend",2025-09-05,Internet Service
252,Arun,Poor quality and waste of money,2025-08-07,Headphones
253,Manoj,Delivery was too late,2025-02-21,Internet Service
254,Priya,Very bad experience and disappointed,2025-04-04,Laptop
255,Pooja,Very happy with the product,2025-02-14,E-commerce
256,Manoj,Excellent quality and very satisfied,2025-01-01,Mobile App
257,Priya,Very bad experience and disappointed,2025-04-03,Internet Service
258,Karthik,Nothing special,2025-03-22,Mobile
259,Arun,Okay for the price,2025-11-16,Headphones
260,Priya,Poor quality and waste of money,2025-06-19,Mobile
261,Priya,Average experience,2025-10-31,Internet Service
262,Arun,"Amazing experience, highly recommend",2025-08-13,Headphones
263,Divya,"Amazing experience, highly recommend",2025-01-29,Smart Watch
264,Suresh,"Amazing experience, highly recommend",2025-05-03,Banking App
265,Priya,Poor quality and waste of money,2025-12-23,Mobile App
266,Pooja,Worst product ever,2025-08-23,Smart Watch
267,Priya,Okay for the price,2025-04-19,Mobile
268,Priya,Very happy with the product,2025-10-29,Headphones
269,Divya,Okay for the price,2025-09-19,Internet Service
270,Sneha,Acceptable performance,2025-06-02,E-commerce
271,Divya,Very bad experience and disappointed,2025-12-05,Banking App
272,Divya,Very happy with the product,2025-05-16,E-commerce
273,Arun,Acceptable performance,2025-04-02,Smart Watch
274,Rahul,Acceptable performance,2025-10-23,E-commerce
275,Anitha,Very happy with the product,2025-03-21,Mobile App
276,Rahul,Nothing special,2025-10-17,Mobile
277,Sneha,Worst product ever,2025-11-12,Headphones
278,Rahul,Worst product ever,2025-10-10,E-commerce
279,Suresh,Worst product ever,2025-09-04,Mobile App
280,Pooja,Great service and fast delivery,2025-05-15,Banking App
281,Sneha,"Amazing experience, highly recommend",2025-04-01,Headphones
282,Anitha,Poor quality and waste of money,2025-01-24,Headphones
283,Pooja,Okay for the price,2025-07-12,Mobile App
284,Anitha,Customer support did not respond,2025-04-01,Internet Service
285,Priya,Okay for the price,2025-07-27,Laptop
286,Rahul,Worst product ever,2025-08-19,Mobile App
287,Pooja,Support team was very helpful,2025-12-23,Banking App
288,Suresh,Nothing special,2025-04-13,Laptop
289,Anitha,Decent product,2025-06-14,Banking App
290,Suresh,Customer support did not respond,2025-10-31,Headphones
291,Anitha,Customer support did not respond,2025-01-27,Mobile
292,Rahul,Customer support did not respond,2025-04-08,Headphones
293,Pooja,Poor quality and waste of money,2025-04-21,Headphones
294,Priya,Nothing special,2025-05-09,Laptop
295,Pooja,Average experience,2025-01-27,E-commerce
296,Suresh,Decent product,2025-06-02,Mobile App
297,Pooja,Excellent quality and very satisfied,2025-07-22,Laptop
298,Priya,Excellent quality and very satisfied,2025-06-07,Internet Service
299,Karthik,Poor quality and waste of money,2025-07-27,Banking App
300,Suresh,Okay for the price,2025-12-06,Headphones
301,Priya,Okay for the price,2025-06-10,E-commerce
302,Priya,Excellent quality and very satisfied,2025-09-28,Mobile
303,Pooja,Delivery was too late,2025-03-13,Headphones
304,Arun,Great service and fast delivery,2025-02-06,Smart Watch
305,Karthik,Average experience,2025-05-30,Mobile App
306,Pooja,Support team was very helpful,2025-06-11,E-commerce
307,Priya,Delivery was too late,2025-03-22,Mobile App
308,Priya,Excellent quality and very satisfied,2025-02-05,Internet Service
309,Sneha,Support team was very helpful,2025-11-28,Headphones
310,Anitha,Decent product,2025-01-31,Mobile
311,Sneha,Okay for the price,2025-08-13,Internet Service
312,Anitha,Nothing special,2025-03-17,Banking App
313,Rahul,Acceptable performance,2025-11-01,E-commerce
314,Anitha,Very happy with the product,2025-06-25,Headphones
315,Anitha,Support team was very helpful,2025-05-03,E-commerce
316,Suresh,Support team was very helpful,2025-12-05,E-commerce
317,Pooja,Very bad experience and disappointed,2025-08-07,Mobile
318,Pooja,Delivery was too late,2025-03-15,Headphones
319,Divya,Worst product ever,2025-01-05,Smart Watch
320,Anitha,Very bad experience and disappointed,2025-05-22,Mobile App
321,Arun,Okay for the price,2025-06-03,Mobile App
322,Suresh,Very happy with the product,2025-10-18,Laptop
323,Divya,Support team was very helpful,2025-07-20,Laptop
324,Priya,Worst product ever,2025-03-15,Mobile
325,Rahul,Very happy with the product,2025-12-30,Internet Service
326,Sneha,Very bad experience and disappointed,2025-09-19,Laptop
327,Anitha,"Amazing experience, highly recommend",2025-04-24,Mobile
328,Pooja,Okay for the price,2025-02-09,Banking App
329,Suresh,"Amazing experience, highly recommend",2025-11-23,Internet Service
330,Manoj,Decent product,2025-05-16,Internet Service
331,Priya,Great service and fast delivery,2025-12-11,Banking App
332,Karthik,Very bad experience and disappointed,2025-06-28,Laptop
333,Divya,Support team was very helpful,2025-12-15,Banking App
334,Manoj,Very happy with the product,2025-09-21,Internet Service
335,Suresh,Average experience,2025-07-04,Mobile App
336,Divya,Very happy with the product,2025-01-15,E-commerce
337,Anitha,Nothing special,2025-03-10,Headphones
338,Karthik,Customer support did not respond,2025-01-28,Banking App
339,Priya,Decent product,2025-04-12,E-commerce
340,Sneha,Poor quality and waste of money,2025-09-04,Mobile
341,Sneha,Delivery was too late,2025-02-11,E-commerce
342,Arun,"Amazing experience, highly recommend",2025-09-25,Banking App
343,Manoj,"Amazing experience, highly recommend",2025-10-01,Laptop
344,Divya,Okay for the price,2025-10-17,Headphones
345,Arun,Worst product ever,2025-05-12,Smart Watch
346,Anitha,Poor quality and waste of money,2025-09-16,Laptop
347,Rahul,Customer support did not respond,2025-02-26,Banking App
348,Suresh,Delivery was too late,2025-10-20,E-commerce
349,Rahul,Average experience,2025-10-31,Internet Service
350,Manoj,Nothing special,2025-01-23,Banking App
351,Arun,Okay for the price,2025-11-27,Mobile App
352,Anitha,Worst product ever,2025-06-22,Mobile
353,Pooja,Delivery was too late,2025-03-30,Mobile
354,Priya,Great service and fast delivery,2025-05-17,E-commerce
355,Suresh,Very happy with the product,2025-10-10,Mobile App
356,Suresh,Nothing special,2025-08-10,Mobile
357,Manoj,Worst product ever,2025-11-06,Internet Service
358,Pooja,Poor quality and waste of money,2025-10-17,Smart Watch
359,Divya,Worst product ever,2025-03-03,Laptop
360,Priya,Very bad experience and disappointed,2025-10-29,Internet Service
361,Pooja,Excellent quality and very satisfied,2025-08-18,Headphones
362,Karthik,Acceptable performance,2025-10-14,Smart Watch
363,Suresh,Nothing special,2025-03-21,Smart Watch
364,Karthik,Very bad experience and disappointed,2025-06-05,E-commerce
365,Arun,"Amazing experience, highly recommend",2025-07-18,Internet Service
366,Manoj,Worst product ever,2025-07-04,Banking App
367,Anitha,Very bad experience and disappointed,2025-07-21,Laptop
368,Manoj,Customer support did not respond,2025-07-25,Mobile
369,Divya,Nothing special,2025-07-03,Smart Watch
370,Karthik,Poor quality and waste of money,2025-09-20,Headphones
371,Suresh,Excellent quality and very satisfied,2025-07-22,E-commerce
372,Manoj,Very bad experience and disappointed,2025-05-16,Smart Watch
373,Rahul,Delivery was too late,2025-10-24,E-commerce
374,Divya,Support team was very helpful,2025-01-31,Smart Watch
375,Rahul,Great service and fast delivery,2025-09-28,Headphones
376,Sneha,Decent product,2025-07-21,Banking App
377,Karthik,Acceptable performance,2025-05-23,Banking App
378,Karthik,Great service and fast delivery,2025-05-22,Headphones
379,Divya,Delivery was too late,2025-07-24,Banking App
380,Divya,Nothing special,2025-05-01,Mobile App
381,Priya,"Amazing experience, highly recommend",2025-01-05,Smart Watch
382,Priya,Worst product ever,2025-04-29,Internet Service
383,Divya,Okay for the price,2025-10-03,E-commerce
384,Sneha,Decent product,2025-06-01,E-commerce
385,Suresh,"Amazing experience, highly recommend",2025-04-06,Internet Service
386,Rahul,Very bad experience and disappointed,2025-09-29,E-commerce
387,Divya,Decent product,2025-05-25,Laptop
388,Divya,Nothing special,2025-01-02,Internet Service
389,Karthik,Excellent quality and very satisfied,2025-01-29,E-commerce
390,Sneha,Average experience,2025-07-13,Mobile App
391,Rahul,Customer support did not respond,2025-01-19,E-commerce
392,Priya,Average experience,2025-04-06,E-commerce
393,Priya,Poor quality and waste of money,2025-09-25,Mobile App
394,Arun,Okay for the price,2025-02-11,Laptop
395,Pooja,Decent product,2025-11-22,Headphones
396,Manoj,Okay for the price,2025-11-08,Mobile App
397,Priya,Worst product ever,2025-06-28,Internet Service
398,Pooja,Decent product,2025-04-15,Headphones
399,Karthik,Poor quality and waste of money,2025-01-25,E-commerce
400,Karthik,Nothing special,2025-02-06,Smart Watch
401,Pooja,Great service and fast delivery,2025-12-12,Laptop
402,Pooja,"Amazing experience, highly recommend",2025-03-03,Headphones
403,Rahul,Okay for the price,2025-08-04,Headphones
404,Divya,"Amazing experience, highly recommend",2025-08-12,Laptop
405,Arun,Acceptable performance,2025-11-10,Headphones
406,Anitha,Okay for the price,2025-10-13,Laptop
407,Manoj,Very happy with the product,2025-06-14,Mobile App
408,Suresh,Delivery was too late,2025-06-13,E-commerce
409,Divya,Okay for the price,2025-06-16,Laptop
410,Divya,Acceptable performance,2025-04-23,E-commerce
411,Karthik,Customer support did not respond,2025-07-30,Mobile
412,Suresh,Very bad experience and disappointed,2025-05-21,Laptop
413,Divya,Customer support did not respond,2025-09-12,Mobile
414,Arun,Acceptable performance,2025-05-02,E-commerce
415,Pooja,Decent product,2025-09-26,Banking App
416,Karthik,Great service and fast delivery,2025-06-09,Banking App
417,Rahul,Customer support did not respond,2025-03-09,Mobile App
418,Rahul,Okay for the price,2025-05-28,E-commerce
419,Arun,Customer support did not respond,2025-10-02,Mobile App
420,Rahul,Nothing special,2025-03-27,Mobile
421,Divya,Very bad experience and disappointed,2025-10-21,E-commerce
422,Suresh,Average experience,2025-04-17,Mobile
423,Priya,Worst product ever,2025-09-26,Laptop
424,Priya,Very happy with the product,2025-07-23,E-commerce
425,Sneha,Support team was very helpful,2025-11-22,Internet Service
426,Suresh,Excellent quality and very satisfied,2025-06-07,Smart Watch
427,Karthik,Poor quality and waste of money,2025-02-11,Mobile
428,Manoj,Decent product,2025-02-12,Laptop
429,Arun,Excellent quality and very satisfied,2025-02-07,Headphones
430,Anitha,Decent product,2025-02-24,Headphones
431,Sneha,Okay for the price,2025-06-30,E-commerce
432,Manoj,Acceptable performance,2025-07-15,Smart Watch
433,Anitha,"Amazing experience, highly recommend",2025-04-10,Laptop
434,Sneha,Poor quality and waste of money,2025-12-08,Smart Watch
435,Sneha,Excellent quality and very satisfied,2025-01-19,Headphones
436,Rahul,Nothing special,2025-09-09,Internet Service
437,Pooja,Support team was very helpful,2025-12-15,Mobile
438,Divya,Poor quality and waste of money,2025-11-23,E-commerce
439,Divya,Great service and fast delivery,2025-09-07,Laptop
440,Priya,Delivery was too late,2025-06-14,Laptop
441,Suresh,Decent product,2025-10-03,Laptop
442,Anitha,Worst product ever,2025-06-16,Banking App
443,Karthik,Okay for the price,2025-08-27,Laptop
444,Rahul,Great service and fast delivery,2025-02-16,Smart Watch
445,Suresh,Nothing special,2025-12-06,Internet Service
446,Sneha,Average experience,2025-03-04,E-commerce
447,Divya,Great service and fast delivery,2025-04-22,Banking App
448,Manoj,Nothing special,2025-07-11,Banking App
449,Pooja,Decent product,2025-07-25,Mobile
450,Anitha,"Amazing experience, highly recommend",2025-10-05,Mobile App
451,Arun,Average experience,2025-09-09,Mobile
452,Manoj,Support team was very helpful,2025-08-22,Headphones
453,Sneha,Excellent quality and very satisfied,2025-03-09,Smart Watch
454,Priya,Customer support did not respond,2025-07-06,Banking App
455,Arun,Acceptable performance,2025-07-19,Banking App
456,Divya,Very happy with the product,2025-09-10,Laptop
457,Anitha,Worst product ever,2025-07-06,Mobile
458,Suresh,"Amazing experience, highly recommend",2025-09-01,Banking App
459,Sneha,Acceptable performance,2025-05-14,Mobile
460,Rahul,Okay for the price,2025-10-01,Smart Watch
461,Rahul,Average experience,2025-08-17,Smart Watch
462,Divya,Worst product ever,2025-05-15,Mobile App
463,Arun,Nothing special,2025-02-14,Internet Service
464,Karthik,Support team was very helpful,2025-03-12,Headphones
465,Karthik,Worst product ever,2025-05-10,Laptop
466,Karthik,Worst product ever,2025-07-29,Banking App
467,Arun,Average experience,2025-01-23,Smart Watch
468,Pooja,Average experience,2025-10-20,Internet Service
469,Divya,Very bad experience and disappointed,2025-05-14,Mobile
470,Divya,Customer support did not respond,2025-05-20,E-commerce
471,Priya,Decent product,2025-02-07,Internet Service
472,Arun,"Amazing experience, highly recommend",2025-08-31,Headphones
473,Sneha,Great service and fast delivery,2025-12-11,Mobile App
474,Suresh,Acceptable performance,2026-01-01,Laptop
475,Priya,Great service and fast delivery,2025-12-18,Smart Watch
476,Arun,Customer support did not respond,2025-11-30,Internet Service
477,Suresh,Very happy with the product,2025-01-18,Laptop
478,Manoj,Decent product,2025-04-05,Mobile
479,Rahul,Customer support did not respond,2025-03-26,Mobile
480,Divya,Average experience,2025-03-13,Internet Service
481,Rahul,Poor quality and waste of money,2025-08-31,Banking App
482,Priya,Acceptable performance,2025-06-19,Headphones
483,Divya,Very bad experience and disappointed,2025-02-14,Laptop
484,Karthik,Very happy with the product,2025-11-05,Internet Service
485,Sneha,Average experience,2025-08-21,E-commerce
486,Priya,Acceptable performance,2025-05-11,Laptop
487,Karthik,Acceptable performance,2025-04-17,E-commerce
488,Suresh,Nothing special,2025-03-19,Mobile
489,Priya,Average experience,2025-05-09,Mobile App
490,Sneha,Customer support did not respond,2025-04-27,Laptop
491,Rahul,Very happy with the product,2025-06-04,Mobile
492,Suresh,Nothing special,2025-02-16,Smart Watch
493,Sneha,Nothing special,2025-02-09,Laptop
494,Anitha,Support team was very helpful,2025-02-15,Internet Service
495,Sneha,Very happy with the product,2025-03-27,E-commerce
496,Anitha,Nothing special,2025-02-13,Laptop
497,Manoj,Very bad experience and disappointed,2025-09-10,Laptop
498,Sneha,Worst product ever,2025-10-06,Mobile App
